                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7241,                   5.15,                 1.3847,                0.00328,                0.98305,                0.00667,                0.00341,                 1.2929,                 4.0708,                0.93433,                0.00016,                0.00016,                0.00016
                      2,                 1.1822,                 4.0841,                0.90657,                0.00328,                0.98305,                0.07129,                0.03059,                 1.1787,                 3.8952,                0.88458,             0.00033327,             0.00033327,             0.00033327
                      3,                 1.2155,                 3.1765,                  0.885,                0.00328,                0.98305,                0.10185,                0.02409,                 1.0649,                 3.9339,                0.89795,             0.00049941,             0.00049941,             0.00049941
                      4,                 1.2305,                 2.1635,                0.90481,                0.00328,                0.98305,                0.00967,                0.00538,                 1.0816,                 3.8741,                0.89723,             0.00065842,             0.00065842,             0.00065842
                      5,                 1.2049,                 1.8363,                0.93031,                0.00328,                0.98305,                0.00713,                0.00401,                 1.0421,                 3.9948,                0.93807,              0.0008103,              0.0008103,              0.0008103
                      6,                 1.1165,                 1.6464,                0.92601,                0.00311,                 0.9322,                 0.0055,                0.00278,                 1.2262,                  4.105,                 1.0035,             0.00095506,             0.00095506,             0.00095506
                      7,                 1.0781,                 1.5487,                0.90167,                0.00328,                0.98305,                0.00752,                 0.0049,                 1.0242,                 3.8589,                0.91428,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.1114,                 1.5443,                 0.9219,                0.00328,                0.98305,                0.00693,                0.00455,                0.96997,                 3.9406,                0.91919,              0.0012232,              0.0012232,              0.0012232
                      9,                 1.1088,                 1.5196,                0.90272,                0.00328,                0.98305,                0.02814,                0.02017,                 1.0721,                 3.5432,                0.90976,              0.0013466,              0.0013466,              0.0013466
                     10,                 1.0216,                 1.3289,                0.90024,                0.00697,                      1,                 0.1499,                0.10048,                  1.052,                 3.2847,                0.88527,              0.0014628,              0.0014628,              0.0014628
                     11,                 1.1052,                 1.2962,                0.90452,                0.43143,                0.37288,                0.34919,                0.21828,                 1.0866,                  3.081,                0.89445,              0.0015719,              0.0015719,              0.0015719
                     12,                  1.043,                 1.2839,                0.90654,                      1,                0.29808,                0.72068,                0.51432,                0.96647,                 2.9632,                 0.8935,              0.0015644,              0.0015644,              0.0015644
                     13,                0.99074,                 1.2299,                0.91183,                      1,                0.17533,                  0.994,                0.67641,                 1.1064,                 2.7809,                0.91716,              0.0015248,              0.0015248,              0.0015248
