                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.772,                 5.1199,                 1.3715,                0.00316,                0.94915,                0.00621,                0.00365,                 1.2686,                 4.2265,                0.93511,                0.00016,                0.00016,                0.00016
                      2,                  1.149,                 4.0865,                0.92483,                0.00316,                0.94915,                0.00861,                0.00502,                 1.0591,                 4.1372,                0.89665,             0.00033327,             0.00033327,             0.00033327
                      3,                 1.1751,                 3.1669,                0.88916,                0.00322,                 0.9661,                0.02264,                0.00689,                0.95534,                 3.9749,                0.86215,             0.00049941,             0.00049941,             0.00049941
                      4,                 1.1074,                 2.0226,                0.88448,                0.00322,                 0.9661,                0.00761,                0.00498,                0.99391,                 3.9754,                0.87764,             0.00065842,             0.00065842,             0.00065842
                      5,                 1.1428,                 1.7231,                0.89664,                0.00316,                0.94915,                0.00641,                0.00431,                0.98417,                  4.081,                0.89874,              0.0008103,              0.0008103,              0.0008103
                      6,                 1.1094,                 1.5909,                0.89869,                0.00322,                 0.9661,                0.00595,                0.00364,                 1.1007,                 4.0473,                0.92278,             0.00095506,             0.00095506,             0.00095506
                      7,                 1.1114,                 1.5302,                  0.893,                0.00322,                 0.9661,                0.00579,                0.00365,                0.96084,                 3.8928,                0.89521,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.0876,                 1.4592,                0.90729,                0.00322,                 0.9661,                0.00606,                0.00364,                 1.0592,                 3.8069,                0.91626,              0.0012232,              0.0012232,              0.0012232
                      9,                 1.1127,                 1.4088,                0.88679,                0.00328,                0.98305,                0.03911,                0.02451,                 1.0265,                 3.6014,                0.91635,              0.0013466,              0.0013466,              0.0013466
                     10,                 1.0489,                 1.3371,                0.90322,                0.00333,                      1,                0.01365,                0.00866,                 1.0151,                    3.6,                0.90607,              0.0014628,              0.0014628,              0.0014628
                     11,                 1.0254,                  1.312,                0.90126,                0.00333,                      1,                0.14827,                0.10015,                 1.0218,                 3.2402,                0.90079,              0.0015719,              0.0015719,              0.0015719
                     12,                0.99703,                 1.2907,                 0.9061,                      1,                0.07008,                0.83455,                0.58761,                0.98874,                 3.0792,                 0.8853,              0.0015644,              0.0015644,              0.0015644
                     13,                0.98347,                 1.2326,                0.87354,                      1,                0.71628,                0.98915,                0.68957,                0.99624,                 2.4609,                0.88739,              0.0015248,              0.0015248,              0.0015248
                     14,                0.96208,                 1.1691,                0.86217,                      1,                0.86168,                0.99422,                0.67041,                 1.0535,                  2.344,                0.92574,              0.0014852,              0.0014852,              0.0014852
                     15,                 0.9829,                 1.2472,                0.88152,                      1,                0.94774,                0.99483,                0.69815,                 1.0401,                 2.0803,                0.92567,              0.0014456,              0.0014456,              0.0014456
                     16,                0.97885,                 1.1458,                0.88246,                 0.9051,                      1,                0.98227,                0.68693,                0.99679,                 1.6443,                0.88429,               0.001406,               0.001406,               0.001406
                     17,                0.90798,                 1.0704,                0.85747,                0.99823,                 0.9661,                 0.9945,                0.73464,                0.92578,                  1.475,                0.87752,              0.0013664,              0.0013664,              0.0013664
                     18,                0.89822,                 1.0235,                0.86127,                      1,                0.97677,                  0.995,                 0.7095,                0.97308,                 1.4308,                0.89957,              0.0013268,              0.0013268,              0.0013268
                     19,                0.93684,                 1.0248,                0.87324,                      1,                0.99357,                  0.995,                0.69843,                 1.0243,                 1.2736,                0.93678,              0.0012872,              0.0012872,              0.0012872
                     20,                0.90533,                0.95432,                 0.8809,                      1,                0.99705,                  0.995,                0.73584,                0.95807,                 1.0746,                0.91261,              0.0012476,              0.0012476,              0.0012476
                     21,                0.87867,                0.93622,                 0.8571,                      1,                0.99655,                  0.995,                0.71772,                0.93609,                 1.1114,                0.90959,               0.001208,               0.001208,               0.001208
                     22,                0.81143,                0.88969,                0.83378,                      1,                0.99721,                  0.995,                0.73652,                0.92652,                 1.0305,                0.91073,              0.0011684,              0.0011684,              0.0011684
                     23,                0.90233,                0.85965,                0.86134,                      1,                0.99745,                  0.995,                0.72782,                0.93847,                0.99149,                0.91373,              0.0011288,              0.0011288,              0.0011288
                     24,                0.87221,                0.83994,                0.86514,                0.99945,                      1,                  0.995,                0.72385,                0.95329,                0.91836,                0.91912,              0.0010892,              0.0010892,              0.0010892
                     25,                 0.8337,                0.81156,                 0.8673,                      1,                0.99754,                  0.995,                0.72421,                 1.0193,                0.90835,                0.95937,              0.0010496,              0.0010496,              0.0010496
